time,pressure,air_temp,air_humidity,69886_rssi,69886_snr,soil_humidity
2020-07-24 08:30:00,1009.0,28.411865234375,50.201416015625,-115.0,-1.2,16.571428571428573
2020-07-24 08:40:00,1009.0,28.411865234375,49.530029296875,-117.0,-3.0,16.571428571428573
2020-07-24 08:50:00,1009.0,28.3966064453125,49.713134765625,-115.0,0.0,16.428571428571427
2020-07-24 09:00:00,1009.0,28.3660888671875,50.23193359375,-115.0,-1.5,16.428571428571427
2020-07-24 09:10:00,1009.1,28.4271240234375,50.048828125,-114.0,-7.0,16.428571428571427
2020-07-24 09:20:00,1009.1,28.472900390625,52.581787109375,-114.0,-1.2,16.428571428571427
2020-07-24 09:30:00,1009.1,28.38134765625,52.67333984375,-114.0,-2.2,16.428571428571427
2020-07-24 09:40:00,1009.1,28.62548828125,52.032470703125,-117.0,-2.2,16.285714285714285
2020-07-24 09:50:00,1009.1,28.717041015625,52.764892578125,-119.0,-1.2,16.285714285714285
2020-07-24 10:00:00,1009.1,28.717041015625,53.77197265625,-114.0,-2.2,16.142857142857142
2020-07-24 10:10:00,1009.1,28.7017822265625,52.581787109375,-119.0,-3.2,16.142857142857142
2020-07-24 10:20:00,1009.1,28.7322998046875,52.398681640625,-117.0,-1.8,16.142857142857142
2020-07-24 10:30:00,1009.1,28.8543701171875,52.55126953125,-117.0,-3.2,16.142857142857142
2020-07-24 10:40:00,1009.1,29.1290283203125,51.910400390625,-115.0,-3.2,16.0
2020-07-24 10:50:00,1009.1,29.144287109375,53.955078125,-114.0,-5.8,15.857142857142858
2020-07-24 11:00:00,1009.1,29.0374755859375,55.72509765625,-119.0,-1.8,15.857142857142858
2020-07-24 11:10:00,1009.1,29.0985107421875,54.962158203125,-119.0,-0.8,15.857142857142858
2020-07-24 11:20:00,1009.1,28.8543701171875,56.82373046875,-119.0,-2.8,15.714285714285714
2020-07-24 11:30:00,1009.1,28.839111328125,56.610107421875,-119.0,-2.2,15.571428571428571
2020-07-24 11:40:00,1009.1,28.8238525390625,56.365966796875,-116.0,-2.0,15.571428571428571
2020-07-24 11:50:00,1009.1,29.1748046875,51.6357421875,-119.0,-3.0,15.428571428571429
2020-07-24 12:00:00,1009.1,29.4342041015625,54.901123046875,-117.0,-1.5,15.428571428571429
2020-07-24 12:20:00,1008.4,29.510498046875,51.7578125,-115.0,-2.5,15.428571428571429
2020-07-24 12:30:00,1008.4,29.3731689453125,52.490234375,-117.0,-3.8,15.285714285714286
2020-07-24 12:40:00,1008.4,29.2205810546875,54.99267578125,-115.0,-1.0,15.285714285714286
2020-07-24 12:50:00,1008.4,29.0985107421875,52.001953125,-115.0,-1.5,15.142857142857142
2020-07-24 13:00:00,1008.4,29.1748046875,54.13818359375,-114.0,-2.2,15.142857142857142
2020-07-24 13:10:00,1008.0,29.3121337890625,53.009033203125,-115.0,-1.0,15.142857142857142
2020-07-24 13:20:00,1008.0,29.266357421875,49.13330078125,-117.0,-2.5,15.142857142857142
2020-07-24 13:30:00,1008.0,29.2816162109375,51.94091796875,-115.0,0.0,15.142857142857142
2020-07-24 13:40:00,1008.0,29.35791015625,52.886962890625,-114.0,-0.2,15.0
2020-07-24 13:50:00,1008.0,29.35791015625,54.87060546875,-114.0,-0.8,15.142857142857142
2020-07-24 14:00:00,1008.0,29.0985107421875,58.89892578125,-114.0,-0.8,15.142857142857142
2020-07-24 14:10:00,1007.7,28.6407470703125,58.685302734375,-115.0,-1.8,15.0
2020-07-24 14:20:00,1007.7,28.6102294921875,57.952880859375,-115.0,-1.2,15.0
2020-07-24 14:30:00,1007.7,28.74755859375,55.17578125,-117.0,-2.0,15.0
2020-07-24 14:40:00,1007.7,28.9764404296875,54.26025390625,-119.0,-2.8,15.0
2020-07-24 14:50:00,1007.7,29.1900634765625,52.886962890625,-117.0,-1.2,15.0
2020-07-24 15:00:00,1007.7,29.0985107421875,52.67333984375,-117.0,-0.5,15.0
2020-07-24 15:10:00,1007.4,29.0985107421875,53.64990234375,-117.0,-8.5,15.0
2020-07-24 15:20:00,1007.4,28.74755859375,53.28369140625,-114.0,-1.0,15.0
2020-07-24 15:30:00,1007.4,28.472900390625,54.595947265625,-115.0,-0.5,15.0
2020-07-24 15:40:00,1007.4,28.4576416015625,53.009033203125,-119.0,-1.8,14.857142857142858
2020-07-24 15:50:00,1007.4,28.4576416015625,50.872802734375,-117.0,-2.0,15.0
2020-07-24 16:00:00,1007.4,28.4271240234375,51.513671875,-117.0,-3.0,14.857142857142858
2020-07-24 16:10:00,1007.9,28.411865234375,51.33056640625,-117.0,-2.5,14.857142857142858
2020-07-24 16:20:00,1007.9,28.4271240234375,51.055908203125,-119.0,-2.2,15.0
2020-07-24 16:30:00,1007.9,28.4423828125,53.03955078125,-117.0,-1.8,14.857142857142858
2020-07-24 16:40:00,1007.9,28.411865234375,53.680419921875,-115.0,-0.5,14.857142857142858
2020-07-24 16:50:00,1007.9,28.3966064453125,52.734375,-114.0,0.5,14.857142857142858
2020-07-24 17:00:00,1007.9,28.1982421875,54.62646484375,-114.0,-2.5,15.0
2020-07-24 17:10:00,1008.6,27.984619140625,55.48095703125,-115.0,-2.8,14.857142857142858
2020-07-24 17:20:00,1008.8,27.801513671875,54.13818359375,-113.0,2.2,15.0
2020-07-24 17:30:00,1008.8,27.587890625,53.8330078125,-115.0,-0.5,15.0
2020-07-24 17:40:00,1008.8,27.03857421875,60.699462890625,-115.0,-1.0,15.0
2020-07-24 17:50:00,1008.8,26.458740234375,63.1103515625,-115.0,-1.8,15.0
2020-07-24 18:00:00,1008.8,25.9552001953125,69.7021484375,-115.0,-5.5,15.0
2020-07-24 18:10:00,1009.9,25.604248046875,71.83837890625,-115.0,-5.0,15.0
2020-07-24 18:20:00,1009.9,25.299072265625,69.2138671875,-117.0,-3.2,15.0
2020-07-24 18:30:00,1009.9,25.1312255859375,73.6083984375,-117.0,-4.5,15.0
2020-07-24 18:40:00,1009.9,25.146484375,71.4111328125,-117.0,-6.2,15.0
2020-07-24 18:50:00,1009.9,25.1922607421875,68.05419921875,-117.0,-8.0,14.857142857142858
2020-07-24 19:00:00,1009.9,25.146484375,68.115234375,-117.0,-5.0,14.857142857142858
2020-07-24 19:10:00,1008.5,24.90234375,69.64111328125,-117.0,-3.2,14.857142857142858
2020-07-24 19:20:00,1008.5,24.749755859375,70.9228515625,-117.0,-3.0,14.857142857142858
2020-07-24 19:30:00,1008.1,24.566650390625,71.10595703125,-119.0,-2.8,14.857142857142858
2020-07-24 19:40:00,1008.5,24.1851806640625,74.5849609375,-117.0,-4.0,14.857142857142858
2020-07-24 19:50:00,1008.5,24.2156982421875,76.0498046875,-119.0,-2.5,14.857142857142858
2020-07-24 20:00:00,1008.1,24.23095703125,75.1953125,-119.0,-2.8,14.857142857142858
2020-07-24 20:10:00,1010.3,24.3072509765625,73.05908203125,-119.0,-2.0,15.0
2020-07-24 20:20:00,1010.3,24.4140625,71.59423828125,-115.0,-2.5,15.0
2020-07-24 20:30:00,1010.3,24.4293212890625,72.6318359375,-115.0,-2.2,15.0
2020-07-24 20:50:00,1010.3,24.505615234375,67.3828125,-117.0,-3.8,15.142857142857142
2020-07-24 21:00:00,1010.3,24.47509765625,69.580078125,-119.0,-1.5,15.142857142857142
2020-07-24 21:10:00,1008.6,24.23095703125,72.93701171875,-115.0,-0.5,15.142857142857142
2020-07-24 21:20:00,1008.6,24.0936279296875,72.265625,-115.0,-1.8,15.142857142857142
2020-07-24 21:30:00,1008.6,23.98681640625,74.40185546875,-115.0,-1.0,15.142857142857142
2020-07-24 21:40:00,1008.6,23.98681640625,74.89013671875,-115.0,-1.2,15.285714285714286
2020-07-24 21:50:00,1008.6,24.1241455078125,74.40185546875,-115.0,-0.2,15.142857142857142
2020-07-24 22:00:00,1008.6,24.1546630859375,73.8525390625,-115.0,-1.5,15.285714285714286
2020-07-24 22:10:00,1010.2,24.200439453125,73.30322265625,-115.0,-1.0,15.285714285714286
2020-07-24 22:20:00,1010.2,24.1546630859375,71.77734375,-114.0,-1.5,15.285714285714286
2020-07-24 22:30:00,1010.2,24.10888671875,68.115234375,-114.0,-0.5,15.428571428571429
2020-07-24 22:40:00,1010.2,24.0936279296875,67.32177734375,-114.0,-1.8,15.428571428571429
2020-07-24 22:50:00,1010.2,24.0936279296875,68.78662109375,-115.0,-3.0,15.428571428571429
2020-07-24 23:00:00,1010.2,23.98681640625,68.90869140625,-115.0,-1.0,15.428571428571429
2020-07-24 23:10:00,1010.4,23.9715576171875,69.51904296875,-119.0,-1.8,15.428571428571429
2020-07-24 23:20:00,1010.3,23.9715576171875,70.6787109375,-115.0,-1.5,15.428571428571429
2020-07-24 23:30:00,1010.3,23.8037109375,68.90869140625,-114.0,-1.2,15.428571428571429
2020-07-24 23:40:00,1010.3,23.6663818359375,69.4580078125,-117.0,-1.0,15.428571428571429
2020-07-24 23:50:00,1010.3,23.651123046875,71.22802734375,-115.0,-1.5,15.428571428571429
2020-07-25 00:00:00,1010.3,23.3612060546875,75.37841796875,-117.0,-1.5,15.428571428571429
2020-07-25 00:10:00,1009.9,23.3612060546875,75.8056640625,-117.0,-1.8,15.428571428571429
2020-07-25 00:20:00,1009.9,23.4222412109375,75.1953125,-115.0,-2.0,15.428571428571429
2020-07-25 00:30:00,1009.9,23.468017578125,74.64599609375,-117.0,-1.8,15.428571428571429
2020-07-25 00:40:00,1009.9,23.4375,74.0966796875,-114.0,-1.5,15.428571428571429
2020-07-25 00:50:00,1009.9,23.406982421875,72.08251953125,-119.0,-1.5,15.428571428571429
2020-07-25 01:00:00,1009.9,23.406982421875,72.265625,-117.0,-1.5,15.428571428571429
2020-07-25 01:10:00,1010.8,23.4222412109375,71.22802734375,-117.0,-2.0,15.428571428571429
2020-07-25 01:20:00,1010.8,23.3306884765625,72.509765625,-115.0,-1.2,15.428571428571429
2020-07-25 01:30:00,1010.8,23.162841796875,71.96044921875,-117.0,-1.0,15.428571428571429
2020-07-25 01:40:00,1010.8,23.193359375,73.05908203125,-117.0,-1.5,15.428571428571429
2020-07-25 01:50:00,1010.8,23.25439453125,73.18115234375,-119.0,-1.2,15.428571428571429
2020-07-25 02:00:00,1010.8,23.345947265625,73.66943359375,-115.0,-2.0,15.428571428571429
2020-07-25 02:10:00,1010.8,23.406982421875,73.974609375,-119.0,-4.0,15.428571428571429
2020-07-25 02:20:00,1010.5,23.406982421875,75.0732421875,-115.0,-6.2,15.428571428571429
2020-07-25 02:30:00,1010.5,23.4375,76.59912109375,-119.0,-11.2,15.714285714285714
2020-07-25 02:40:00,1010.5,23.284912109375,77.1484375,-119.0,-10.2,20.285714285714285
2020-07-25 02:50:00,1010.5,22.9949951171875,78.4912109375,-118.0,-10.0,21.0
2020-07-25 03:00:00,1010.5,22.88818359375,77.0263671875,-118.0,-8.8,21.0
2020-07-25 03:10:00,1010.0,22.94921875,76.904296875,-117.0,-7.0,20.428571428571427
2020-07-25 03:20:00,1010.0,22.9949951171875,77.5146484375,-115.0,-6.2,20.0
2020-07-25 03:30:00,1010.0,22.979736328125,77.33154296875,-117.0,-4.5,19.571428571428573
2020-07-25 03:40:00,1010.0,22.7813720703125,77.94189453125,-117.0,-5.0,19.285714285714285
2020-07-25 03:50:00,1010.0,22.796630859375,78.9794921875,-115.0,-4.2,19.0
2020-07-25 04:00:00,1010.0,22.857666015625,78.55224609375,-115.0,-4.5,18.714285714285715
2020-07-25 04:10:00,1010.0,22.857666015625,79.58984375,-117.0,-3.8,18.714285714285715
2020-07-25 04:20:00,1010.0,22.796630859375,80.50537109375,-119.0,-3.8,18.571428571428573
2020-07-25 04:30:00,1010.0,22.76611328125,81.298828125,-119.0,-8.2,18.428571428571427
2020-07-25 04:40:00,1010.0,22.8424072265625,83.0078125,-117.0,-9.0,18.571428571428573
2020-07-25 04:50:00,1010.0,22.8729248046875,79.52880859375,-119.0,-8.8,18.714285714285715
2020-07-25 05:00:00,1010.0,22.857666015625,80.87158203125,-117.0,-8.5,18.714285714285715
2020-07-25 05:10:00,1010.0,22.9644775390625,80.74951171875,-117.0,-9.2,18.571428571428573
2020-07-25 05:20:00,1010.0,23.0712890625,79.16259765625,-117.0,-7.8,18.571428571428573
2020-07-25 05:30:00,1010.0,23.1781005859375,77.81982421875,-117.0,-9.0,18.285714285714285
2020-07-25 05:40:00,1010.0,23.3154296875,79.2236328125,-117.0,-7.2,18.285714285714285
2020-07-25 05:50:00,1010.0,23.1475830078125,81.23779296875,-115.0,-7.2,18.285714285714285
2020-07-25 06:00:00,1010.0,22.9644775390625,80.13916015625,-119.0,-6.5,18.285714285714285
2020-07-25 06:10:00,1010.2,23.01025390625,79.89501953125,-119.0,-6.5,18.0
2020-07-25 06:20:00,1010.2,23.1475830078125,81.48193359375,-115.0,-6.5,18.0
2020-07-25 06:30:00,1010.2,23.223876953125,81.23779296875,-117.0,-6.5,18.0
2020-07-25 06:40:00,1010.2,23.284912109375,80.078125,-117.0,-6.0,17.714285714285715
2020-07-25 06:50:00,1010.2,23.345947265625,77.81982421875,-117.0,-5.0,17.714285714285715
2020-07-25 07:00:00,1010.2,23.4222412109375,77.880859375,-116.0,-5.5,17.714285714285715
2020-07-25 07:10:00,1010.3,23.4832763671875,78.06396484375,-115.0,-5.5,17.571428571428573
2020-07-25 07:20:00,1010.3,23.5443115234375,77.45361328125,-117.0,-4.8,17.571428571428573
2020-07-25 07:30:00,1010.3,23.7579345703125,77.5146484375,-117.0,-4.2,17.428571428571427
2020-07-25 07:40:00,1010.3,23.7579345703125,75.439453125,-117.0,-4.2,17.428571428571427
2020-07-25 07:50:00,1010.3,23.7274169921875,76.7822265625,-117.0,-3.5,17.428571428571427
2020-07-25 08:00:00,1010.2,23.773193359375,74.21875,-117.0,-4.2,17.285714285714285
2020-07-25 08:10:00,1010.5,23.86474609375,75.927734375,-115.0,-3.8,17.285714285714285
2020-07-25 08:20:00,1010.5,23.834228515625,75.37841796875,-114.0,-3.0,17.285714285714285
2020-07-25 08:30:00,1010.5,24.017333984375,72.75390625,-115.0,-3.5,17.142857142857142
2020-07-25 08:40:00,1010.5,24.10888671875,75.927734375,-117.0,-4.0,17.142857142857142
2020-07-25 08:50:00,1010.5,24.017333984375,75.74462890625,-117.0,-3.2,17.0
2020-07-25 09:00:00,1010.2,24.10888671875,73.79150390625,-117.0,-2.2,17.0
2020-07-25 09:10:00,1010.6,24.3377685546875,72.57080078125,-114.0,-3.2,17.0
2020-07-25 09:20:00,1010.6,24.47509765625,71.35009765625,-117.0,-3.8,17.0
2020-07-25 09:30:00,1010.6,24.7650146484375,71.96044921875,-117.0,-1.5,17.0
2020-07-25 09:40:00,1010.6,25.054931640625,69.091796875,-117.0,-3.0,17.0
2020-07-25 09:50:00,1010.6,25.1617431640625,67.56591796875,-115.0,-2.2,17.0
2020-07-25 10:00:00,1010.6,25.1312255859375,66.162109375,-119.0,-2.8,16.714285714285715
2020-07-25 10:10:00,1010.5,25.3448486328125,66.95556640625,-119.0,-3.0,16.714285714285715
2020-07-25 10:20:00,1010.5,25.177001953125,66.22314453125,-117.0,-2.8,16.714285714285715
2020-07-25 10:30:00,1010.5,25.2227783203125,67.626953125,-119.0,-1.5,16.714285714285715
2020-07-25 10:40:00,1010.5,25.421142578125,66.650390625,-118.0,-5.2,16.571428571428573
2020-07-25 10:50:00,1010.5,25.5279541015625,59.38720703125,-119.0,-2.2,16.571428571428573
2020-07-25 11:00:00,1010.5,25.4669189453125,57.403564453125,-113.0,-1.0,16.428571428571427
